date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:13:09	15692/15692	---M-Z	200	added ('OK')	text/html	etag:W/%223d4c-pfamcW4oWoP3gnXKfGYrrcY8qk4%22	https://venmo.com/account/sign-in	C:/My%20Web%20Sites/venmo/venmo.com/account/sign-in.html	(from )
14:13:09	220/220	---M-Z	200	added ('OK')	text/plain	etag:W/%221aa-Fm7ouIF4hZVjQEMmDlHX1tQ1wsg%22	https://venmo.com/robots.txt		(from )
14:13:10	298100/298100	---MCZ	200	added ('OK')	text/css	etag:W/%2248c74-17f2861d6d8%22	https://venmo.com/build/stylesheets/auth.31c8e95826c1232409a0.compiled.css	C:/My%20Web%20Sites/venmo/venmo.com/build/stylesheets/auth.31c8e95826c1232409a0.compiled.css	(from https://venmo.com/account/sign-in)
14:13:10	15413/15413	---MCZ	200	added ('OK')	text/html	etag:W/%223c35-Pixql4OyprqlYCU0Cg0xvkigmww%22	https://venmo.com/account/password-reset	C:/My%20Web%20Sites/venmo/venmo.com/account/password-reset.html	(from https://venmo.com/account/sign-in)
14:13:10	42556/42556	---M--	200	added ('OK')	image/png	etag:W/%22a63c-17f28610fa0%22	https://venmo.com/build/images/apple-app-store.png	C:/My%20Web%20Sites/venmo/venmo.com/build/images/apple-app-store.png	(from https://venmo.com/account/sign-in)
14:13:10	18215/18215	---M--	200	added ('OK')	image/png	etag:W/%224727-17f28610fa0%22	https://venmo.com/build/images/google-play-badge.png	C:/My%20Web%20Sites/venmo/venmo.com/build/images/google-play-badge.png	(from https://venmo.com/account/sign-in)
14:13:12	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2001%20Mar%202022%2019:13:11%20GMT	http://cdn.plaid.com/link/v2/stable/link-initialize.js	C:/My%20Web%20Sites/venmo/cdn.plaid.com/link/v2/stable/link-initialize.5.delayed	(from https://venmo.com/account/sign-in)
14:13:12	3097/3097	---M-Z	200	added ('OK')	application/x-javascript	etag:%22893cf6b700621284b4459255a0812d13%22	http://connect.facebook.net/en_US/sdk.js	C:/My%20Web%20Sites/venmo/connect.facebook.net/en_US/sdk.js	(from https://venmo.com/account/sign-in)
14:13:13	88602/88602	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d265c47d5e03b054a14458f255b1d98d%22	https://cdn.plaid.com/link/v2/stable/link-initialize.js	C:/My%20Web%20Sites/venmo/cdn.plaid.com/link/v2/stable/link-initialize.js	(from https://venmo.com/account/sign-in)
14:13:15	26902/26902	---MCZ	200	added ('OK')	application/javascript	etag:W/%22160874c6a444216fd269e7e0e2370aa7%22	http://d2zah9y47r7bi2.cloudfront.net/releases/current/tracker.js	C:/My%20Web%20Sites/venmo/d2zah9y47r7bi2.cloudfront.net/releases/current/tracker.js	(from https://venmo.com/account/sign-in)
14:13:16	98744/98744	---M-Z	200	added ('OK')	application/javascript	etag:%22f7f936f48944db7f829585c4368f33ae+gzip%22	https://platform.twitter.com/widgets.js	C:/My%20Web%20Sites/venmo/platform.twitter.com/widgets.js	(from https://venmo.com/account/sign-in)
14:13:17	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/venmo/www.google-analytics.com/analytics.js	(from https://venmo.com/account/sign-in)
14:13:17	10576/10576	---M--	200	added ('OK')	image/png	etag:W/%222950-17f2861d6d8%22	https://venmo.com/build/images/venmo.b2f5a3105330460cf3635892401a86d5.png	C:/My%20Web%20Sites/venmo/venmo.com/build/images/venmo.b2f5a3105330460cf3635892401a86d5.png	(from https://venmo.com/build/stylesheets/auth.31c8e95826c1232409a0.compiled.css)
14:13:17	1879535/1879535	---MCZ	200	added ('OK')	application/javascript	etag:W/%221cadef-17f2861d6d8%22	https://venmo.com/build/js/auth.31c8e95826c1232409a0.min.js	C:/My%20Web%20Sites/venmo/venmo.com/build/js/auth.31c8e95826c1232409a0.min.js	(from https://venmo.com/account/sign-in)
14:13:17	607/607	---M--	200	added ('OK')	image/png	etag:W/%2225f-17f2861d6d8%22	https://venmo.com/build/images/info-lock.8c7f1dfc2d6215e5330cad1787a021d7.png	C:/My%20Web%20Sites/venmo/venmo.com/build/images/info-lock.8c7f1dfc2d6215e5330cad1787a021d7.png	(from https://venmo.com/build/stylesheets/auth.31c8e95826c1232409a0.compiled.css)
14:13:18	182/182	---M--	200	added ('OK')	image/png	etag:W/%22b6-17f2861d6d8%22	https://venmo.com/build/images/fb-icon.b52b07286af9707c5809e077fc147b27.png	C:/My%20Web%20Sites/venmo/venmo.com/build/images/fb-icon.b52b07286af9707c5809e077fc147b27.png	(from https://venmo.com/build/stylesheets/auth.31c8e95826c1232409a0.compiled.css)
14:13:18	264/264	---M--	200	added ('OK')	image/png	etag:W/%22108-17f2861d6d8%22	https://venmo.com/build/images/fb-icon@2x.dcf239ca943ebb4297228019f54c1714.png	C:/My%20Web%20Sites/venmo/venmo.com/build/images/fb-icon@2x.dcf239ca943ebb4297228019f54c1714.png	(from https://venmo.com/build/stylesheets/auth.31c8e95826c1232409a0.compiled.css)
14:13:18	15692/15692	---MCZ	200	added ('OK')	text/html	etag:W/%223d4c-pfamcW4oWoP3gnXKfGYrrcY8qk4%22	https://venmo.com/account/sign-in/	C:/My%20Web%20Sites/venmo/venmo.com/account/sign-in/index.html	(from https://venmo.com/account/password-reset)
